time	V(b0)	V(b1)	V(mosi)
1.747705040854895e-007	4.084751e+000	4.990137e+000	0.000000e+000
2.128291269048995e-007	3.885495e+000	4.989717e+000	0.000000e+000
2.293775564437924e-007	3.798817e+000	4.989727e+000	0.000000e+000
2.415029671129806e-007	3.735182e+000	4.989898e+000	0.000000e+000
2.505596247246225e-007	3.687450e+000	4.990165e+000	0.000000e+000
2.578609611252711e-007	3.648631e+000	4.990563e+000	0.000000e+000
2.665075952641707e-007	3.602092e+000	4.991328e+000	0.000000e+000
2.743716631330776e-007	3.559303e+000	4.992261e+000	0.000000e+000
2.839363907598244e-007	3.506973e+000	4.993530e+000	0.000000e+000
2.929000718177399e-007	3.457877e+000	4.994704e+000	0.000000e+000
3.052448172190527e-007	3.390263e+000	4.996249e+000	0.000000e+000
3.151245959582487e-007	3.336161e+000	4.997431e+000	0.000000e+000
3.207454901192741e-007	3.305387e+000	4.998074e+000	0.000000e+000
3.257163560694939e-007	3.278179e+000	4.998621e+000	0.000000e+000
3.300577020114666e-007	3.254421e+000	4.999084e+000	0.000000e+000
3.348214660758719e-007	3.228360e+000	4.999578e+000	0.000000e+000
3.443489942046825e-007	3.176255e+000	5.000544e+000	0.000000e+000
3.461062630145432e-007	3.166647e+000	5.000718e+000	0.000000e+000
3.469848974194735e-007	3.161845e+000	5.000803e+000	0.000000e+000
3.473363511814457e-007	3.159924e+000	5.000838e+000	0.000000e+000
3.480392587053899e-007	3.156082e+000	5.000906e+000	0.000000e+000
3.482149855863760e-007	3.155122e+000	5.000923e+000	0.000000e+000
3.485664393483481e-007	3.153201e+000	5.000957e+000	0.000000e+000
3.492693468722924e-007	3.149360e+000	5.001025e+000	0.000000e+000
3.504998505882613e-007	3.142637e+000	5.001143e+000	0.000000e+000
3.518308767676179e-007	3.135365e+000	5.001271e+000	0.000000e+000
3.544929291263312e-007	3.120826e+000	5.001522e+000	0.000000e+000
3.587821036831509e-007	3.097412e+000	5.001917e+000	0.000000e+000
3.654562023321961e-007	3.061011e+000	5.002512e+000	0.000000e+000
3.739726254766513e-007	3.014635e+000	5.003232e+000	0.000000e+000
3.864623749534728e-007	2.946843e+000	5.004200e+000	0.000000e+000
4.083314414524097e-007	2.828870e+000	5.005660e+000	0.000000e+000
4.358960346721332e-007	2.681740e+000	5.007110e+000	0.000000e+000
4.661939917570143e-007	2.522712e+000	5.008194e+000	0.000000e+000
4.999678426087253e-007	2.349686e+000	5.008812e+000	0.000000e+000
5.376371210349935e-007	2.162743e+000	5.008893e+000	0.000000e+000
5.748314160908231e-007	1.984483e+000	5.008467e+000	0.000000e+000
6.122343336427458e-007	1.804425e+000	5.007649e+000	0.000000e+000
6.563297172357429e-007	1.566017e+000	5.006397e+000	0.000000e+000
6.910504128553984e-007	1.339197e+000	5.005304e+000	0.000000e+000
6.981187101195241e-007	1.282741e+000	5.005075e+000	0.000000e+000
6.998857844355555e-007	1.266922e+000	5.005018e+000	0.000000e+000
7.104882303317442e-007	1.163510e+000	5.004675e+000	0.000000e+000
7.181179669084446e-007	1.079872e+000	5.004433e+000	0.000000e+000
7.305943452318038e-007	9.286677e-001	5.004047e+000	0.000000e+000
7.428304135859097e-007	7.712566e-001	5.003683e+000	0.000000e+000
7.537251688802193e-007	6.333537e-001	5.003382e+000	0.000000e+000
7.679619759758615e-007	4.705079e-001	5.003026e+000	0.000000e+000
7.796452196694767e-007	3.596386e-001	5.002771e+000	0.000000e+000
7.945973102182260e-007	2.502682e-001	5.002499e+000	0.000000e+000
8.100409076594298e-007	1.668249e-001	5.002273e+000	0.000000e+000
8.244934276531848e-007	1.119289e-001	5.002115e+000	0.000000e+000
8.384924031099188e-007	7.533128e-002	5.002011e+000	0.000000e+000
8.523365597754293e-007	5.054842e-002	5.001951e+000	0.000000e+000
8.659482105572798e-007	3.403411e-002	5.001934e+000	0.000000e+000
8.804257504557638e-007	2.221196e-002	5.001956e+000	0.000000e+000
8.938012237176982e-007	1.488532e-002	5.002011e+000	0.000000e+000
9.073390560456913e-007	9.931998e-003	5.002100e+000	0.000000e+000
9.202736194901608e-007	6.738044e-003	5.002211e+000	0.000000e+000
9.335145654017164e-007	4.531653e-003	5.002351e+000	0.000000e+000
9.463984216262419e-007	3.076796e-003	5.002508e+000	0.000000e+000
9.594920641860611e-007	2.077097e-003	5.002687e+000	0.000000e+000
9.723350638223828e-007	1.412456e-003	5.002879e+000	0.000000e+000
9.853291015450012e-007	9.573569e-004	5.003086e+000	0.000000e+000
9.981729581893622e-007	6.524153e-004	5.003300e+000	0.000000e+000
1.011121448142182e-006	4.443052e-004	5.003524e+000	0.000000e+000
1.024006468419433e-006	3.047309e-004	5.003752e+000	0.000000e+000
1.037996091929165e-006	2.046295e-004	5.004001e+000	0.000000e+000
1.054315955926821e-006	1.301162e-004	5.004290e+000	0.000000e+000
1.072980269505013e-006	7.888808e-005	5.004611e+000	0.000000e+000
1.095193497567704e-006	4.506706e-005	5.004972e+000	0.000000e+000
1.121329195526084e-006	2.492769e-005	5.005356e+000	0.000000e+000
1.154327542163415e-006	1.307454e-005	5.005767e+000	0.000000e+000
1.186183027550123e-006	7.710617e-006	5.006082e+000	0.000000e+000
